name,street_address,city,state,zip_code,phone,website,db_id
Toro Park Animal Hospital,,Salinas,CA,93908,,,118
Guide Dogs for the Blind,350 Los Ranchitos Road,San Rafael,CA,,,http://www.guidedogs.com,119
Village Oak Veterinary Hospital,,Road Modesto,CA,95357,2095516200,http://www.forpetcare.com,120
Guide Dogs for the Blind,,San Rafael,CA,94903,,,121
Erickson Veterinary Hospital,,Stockton,CA,95210,,,122
American Canyon Veterinary Hospital,,American Canyon,CA,94503,,,123
Sylvan Veterinary Hospital,,Modesto,CA,95357,,,124
Dechra Veterinary Products,,Fairfield,CA,94533,,,125
South Novato Animal Hospital,7077 Redwood Boulevard,Novato,CA,,,,126
South Novato Animal Hospital,,Novato,CA,94945,,,127
The Country Vet,,Novato,CA,94945,,,128
Davis Animal Hospital,,Lodi,FL,95242,,,129
UC Davis School Of Veterinary Medicine,,Nicasio,CA,94946,4153424694,,130
Denise Leigh Adams-Berg,,Novato,CA,94947,,,131
"Happy Tails Animal Hospital Vacaville, CA",,Vacaville,CA,95687,,,132
"University of California, Davis",,Vacaville,CA,95687,,,133
Vetco Total Care,,Vacaville,CA,95687,,,134
VetnCare - Alley Cat Small Animal Hospital,,Napa,CA,94558,,,135
Arroyo Veterinary Hospital,,Sonoma,CA,95476,,,136
Morna 'Mo' Herzberg,,Petaluma,CA,,,,137
Franklin Ranch Pet Hospital,10207 Franklin Blvd,Elk Grove,CA,10207,,,138
Amvc,,Merced,CA,95348,,,139
VCA Bradshaw Animal Hospital,,Elk Grove,CA,95624,,,140
VCA Elk Grove Animal Hospital 521,,Elk Grove,CA,95624,,,141
VCA Mueller Pet Medical Center,7625 Freeport Blvd,Sacramento,CA,,,,142
SC,,Sacramento,CA,95831,,,143
VCA Greenhaven Pocket Animal Hospital,,Sacramento,CA,95831,,,144
"Clinical Animal Behavior Service, UC Davis School of Veterinary Medicine",,Davis,CA,95616,530-752-1393,http://behavior.vetmed.ucdavis.edu,145
UC Davis,,Davis,CA,95616,,,146
University of California- Davis,,Davis,CA,95618,,,147
University of California Davis School of Veterinary Medicine,,Davis,CA,95618,,,148
UC Davis,,Davis,CA,95618,,,149
999,,Davis,CA,,,,150
UC Davis School of Veterinary Medicine,,Davis,CA,95616,,,151
Banfield Davis 5189,,DAVIS,DA,95618,,,152
Veterianry Behavior Counseling And Therapy,,Davis,CA,95616,,,153
Windy's Corner Mobile Veterinary Services,,Davis,CA,,(858) 779-4639,http://www.windyscorner.com,154
"University Of California, Davis",,Davis,CA,95616,,,155
"Dr. Barbara Hodges, DVM, MBA",,Davis,CA,95616,,,156
Carrington College,,Sacramento,CA,95828,,,157
Sonoma Humane Society,,Santa Rosa,CA,95407,,,158
"University of California, Davis",,Santa Rosa,CA,95407,,,159
Banfield Pet Hospital Crocker Village,,Sacramento,CA,,916-736-2704,https://www.banfield.com/en/locations/veterinarians/ca/sacramento/scv,160
Sactown Vet,,Sacramento,CA,95818,,,161
Humane Society of Sonoma County,,5345,CA,,,,162
UC Davis School of Veterinary Medicine,,West Sacramento,CA,95691,,,163
The Vets of Sacramento,400 Capitol Mall,Sacramento,CA,,,http://thevets.com,164
Vca - Forestville Animal Hospital,,Sebastopol,CA,,,,165
Topline Veterinary Therapeutics,,Usa,CA,37920,,,166
"William Pritchard Veterinary Medicine Teaching Hospital, UC Davis",,Sacramento,CA,95811,,,167
VCA PetCare West Veterinary Hospital,,Santa Rosa,CA,95401,,,168
Gail Cutler,,Santa Rosa,CA,95403,,,169
Abbie Whitehead,,Santa Rosa,CA,95403,,,170
Wise and Wonderful Integrative Veterinary Center,,Santa Rosa,CA,95403,,,171
VCA PetCare East,,Santa Rosa,CA,95403,,,172
Banfield #50 Sacramento Central,,Sacramento,CA,95825,,,173
Country Oaks Pet Hospital,,Sacremento,CA,95864,,,174
Country Oaks Pet Hospital,,Sacramento,CA,95864,,,175
Cynthia D Delany,,Woodland,CA,95695,,,176
UC Davis,,Sacramento,CA,95834,,,177
Banfield Pet Hospital #0053,,Sacramento,CA,95834,,,178
Vetco Total Care,,Sacramento,CA,95834,,,179
"Safehold Special Risk, Inc.",,Rancho Cordova,CA,95670,,,180
Vca Mather Animal Medical Center,,Rancho Cordova,CA,95670,,,181
Arena Animal Hospital,,Truxel Road,ST,,530 506 5227,https://arenaanimalhospital.com/,182
Banfield,,Sacramento,CA,95821,,,183
Vetco Total Care Of Auburn,,Rancho Cordova,CA,95742,,,184
Carrington College,,Carmichael,CA,95608,,,185
VCA Sacramento Animal Medical Group,,Carmichael,CA,95608,,,186
Mono Way Veterinary Hospital,,Sonora,CA,95370,,,187
Foothilll Farms Veterinary Hospital,,Sacramento,CA,95841,,,188
Carrington College,,Citrus Heights,CA,95621,,,189
