name,fear_free_id,clinic,street_address_x,city,state_x,zip_code,name_upper,street_address_y,state_y,db_id
Rebecca Shaffer,217134,UC Davis,,San Jose,CA,95138,UC DAVIS,,CA,27
Megan Sha,138407,Cornell University College of Veterinary Medicine,,Fremont,CA,94536,CORNELL UNIVERSITY COLLEGE OF VETERINARY MEDICINE,,CA,28
Ana Clara Munoz,170636,Village Square Woodside Veterinary Hospital,1725 Woodside Rd f,Redwood City,CA,94061,VILLAGE SQUARE WOODSIDE VETERINARY HOSPITAL,1725 Woodside Rd f,CA,29
Alice Bugman,37148,Sage Veterinary Centers,934 Charter Street,Redwood City,CA,94063,SAGE VETERINARY CENTERS,934 Charter Street,CA,30
Lisa Reinker,193729,Nva Sage Veterinary Centers,,San Carlos,CA,94070,NVA SAGE VETERINARY CENTERS,,CA,31
Devon Ueda,138467,Ironhorse Vetcare,,Pleasanton,CA,94588,IRONHORSE VETCARE,,CA,32
Meredith Elizabeth Stepita,10855,Meredith Elizabeth Stepita,,Dublin,CA,94568,MEREDITH ELIZABETH STEPITA,,CA,33
Heather Moore,185059,Psivet - Livermore Family Pet Hospital,,Livermore,CA,94550,PSIVET - LIVERMORE FAMILY PET HOSPITAL,,CA,34
Elisha Miller,203939,Paws and Claws Veterinary Hospital,,Livermore,CA,94550,PAWS AND CLAWS VETERINARY HOSPITAL,,CA,35
Dilip Garikipati,139997,Animal Cove pet Hospital,1940 Beach Park Boulevard,Foster City,CA,,ANIMAL COVE PET HOSPITAL,1940 Beach Park Boulevard,CA,36
An-Khanh Ives,167030,Montclair Veterinary Hospital,,Hayward,CA,94541,MONTCLAIR VETERINARY HOSPITAL,,CA,37
Allison Ard,109056,Livermore Family Pet Hospital,,Ave Livermore,CA,94551,LIVERMORE FAMILY PET HOSPITAL,,CA,38
Beth Lieblick,22050,SAGE Veterinary Centers,7121 Amador Plaza Rd,Dublin,CA,94568,SAGE VETERINARY CENTERS,7121 Amador Plaza Rd,CA,39
James Wignall,102222,IronHorse VetCare,,Dublin,CA,,IRONHORSE VETCARE,,CA,40
Nanase Nakanishi,178327,Banfield Pet Hospital,,Dublin,CA,94568,BANFIELD PET HOSPITAL,,CA,41
Jacalyn Edens,34266,Chanticleer Veterinary Hospital,2701 Chanticleer Avenue,Santa Cruz,CA,,CHANTICLEER VETERINARY HOSPITAL,2701 Chanticleer Avenue,CA,42
Rhiannon Sullivan,68913,Del Mar Pet Hospital,7525 Sunset Way,Aptos,CA,95003,DEL MAR PET HOSPITAL,7525 Sunset Way,CA,43
Judy Force,181119,Dentistry For Animals,,Aptos,CA,95003,DENTISTRY FOR ANIMALS,,CA,44
Nicola Cohen,162943,VetnCare,,Castro Valley,CA,94546,VETNCARE,,CA,46
Tiva Hoshizaki,167549,VetnCare,,Castro Valley,CA,94546,VETNCARE,,CA,46
Lee Morris,170777,Vnc Alley Cat,,Castro Valley,CA,94546,VNC ALLEY CAT,,CA,45
Morgan Cornelius,173505,Vetncare,,Castro Valley,CA,94546,VETNCARE,,CA,46
Morgan Ramos,174566,Vetncare Inc,,Castro Valley,CA,94546,VETNCARE INC,,CA,47
Rachel Moulton,180714,Vetncare Inc,,Castro Valley,CA,94546,VETNCARE INC,,CA,47
Takashi Kasuya,180789,Vetncare Inc,,Castro Valley,CA,94546,VETNCARE INC,,CA,47
Sam Parkes,181352,Vetncare Inc,,Castro Valley,CA,94546,VETNCARE INC,,CA,47
Elizabeth Tancredi,175969,Banfield,,San Leandro,CA,94578,BANFIELD,,CA,48
"Leigh Stevens, DVM",17529,Scout's House,257 North Amphlett Boulevard,San Mateo,CA,,SCOUT'S HOUSE,257 North Amphlett Boulevard,CA,49
Anna Mckeever,210350,VCA Bay Area Veterinary Specialists,,Oakland,CA,94605,VCA BAY AREA VETERINARY SPECIALISTS,,CA,50
Kecia Valdez,203812,East Bay Spca,,Oakland,CA,94621,EAST BAY SPCA,,CA,51
Lynn Dustin,164359,Bay Area Bird and Exotics Hospital,,El Granada,CA,94018,BAY AREA BIRD AND EXOTICS HOSPITAL,,CA,52
Lailanee Davalos,216866,Carrington,,Tracy,CA,95377,CARRINGTON,,CA,53
Keith Harper,163852,VetnCare,2310 South Shore Center,Alameda,CA,94501,VETNCARE,2310 South Shore Center,CA,54
Nicole Chew,206890,"Nicole Chew Dvm, Veterinary Corporation",,San Francisco,CA,94080,"NICOLE CHEW DVM, VETERINARY CORPORATION",,CA,55
Dana Al-Nazer,20367,Daly City Fear Free,,San Francisco,CA,94080,DALY CITY FEAR FREE,,CA,56
Risa Barrett Allison,180387,Alamo Animal Hospital,,Alamo,CA,94507,ALAMO ANIMAL HOSPITAL,,CA,57
Suzanne Lee,180793,Alamo Animal Hospital,,Alamo,CA,94507,ALAMO ANIMAL HOSPITAL,,CA,57
Sara Andre,162982,Amador Valley Veterinary Hospital,,Pleasanton,CA,94556,AMADOR VALLEY VETERINARY HOSPITAL,,CA,58
Elizabeth Alexander,24735,VetnCare Alameda,,Alameda,CA,94501,VETNCARE ALAMEDA,,CA,59
Michael Miller,30232,Providence Veterinary Hospital & Clinic,,Alameda,CA,94501,PROVIDENCE VETERINARY HOSPITAL & CLINIC,,CA,60
Kirsten Krick,30526,Marina Village Veterinary and Wellness,,Alameda,CA,94501,MARINA VILLAGE VETERINARY AND WELLNESS,,CA,61
Mary Applegate,160504,Park Centre Animal Hospital,,Alameda,CA,94501,PARK CENTRE ANIMAL HOSPITAL,,CA,62
Rachel Goldfarb,34281,VCA Animal Hospital of Los Gatos,,Pacifica,CA,94044,VCA ANIMAL HOSPITAL OF LOS GATOS,,CA,63
J Linette Regalado,188670,Banfield,,san bruno,CA,94066,BANFIELD,,CA,64
Michelle Martin De Bustamante,177135,Bluepearl Specialty And Emergency Pet Hospital - Daly City,,Daly City,CA,94014,BLUEPEARL SPECIALTY AND EMERGENCY PET HOSPITAL - DALY CITY,,CA,65
Michelle Martin De Bustamante,177388,Bluepearl Specialty And Emergency Pet Hospital - Daly City,,Daly City,CA,94014,BLUEPEARL SPECIALTY AND EMERGENCY PET HOSPITAL - DALY CITY,,CA,65
"Kanwarjit Singh Boparai, DVM",53584,Relief Veterinarian,,Tracy,CA,95376,RELIEF VETERINARIAN,,CA,66
Wailani Sung,211357,Joybound People and Pets,,Walnut Creek,CA,94598,JOYBOUND PEOPLE AND PETS,,CA,67
Subash Kethavath,194542,Animal Farm Pet Hospital,5601 Mission Street,San Francisco,CA,,ANIMAL FARM PET HOSPITAL,5601 Mission Street,CA,68
Alvin Hong,193550,Dr. Treat Sf,,San Francisco,CA,94112,DR. TREAT SF,,CA,69
Alex Hsi Lee,174400,Banfield Pet Hospital,,Daly City,CA,94015,BANFIELD PET HOSPITAL,,CA,70
Jayson Johnston,175616,Soma Animal Hospital,,San Francisco,CA,94158,SOMA ANIMAL HOSPITAL,,CA,71
Robert Linville,174515,Uvc / All Creatures Veterinary Hospital / Vallejo,,Lafayette,CA,94549,UVC / ALL CREATURES VETERINARY HOSPITAL / VALLEJO,,CA,72
Barbara Wood,122292,SOMA Animal Hospital,,San Francisco,CA,,SOMA ANIMAL HOSPITAL,,CA,73
Marybeth Rymer,16235,Marybeth Rymer,,Emeryville,CA,94608,MARYBETH RYMER,,CA,74
Melissa Sparks,39391,San Francisco SPCA,201 Alabama Street,San Francisco,CA,,SAN FRANCISCO SPCA,,CA,80
Ashley Cotten,116262,Fuzzy Pet Health,,San Francisco,CA,94103,FUZZY PET HEALTH,,CA,75
Kathleen Kuperman,122217,VCA San Francisco Veterinary Specialists,,San Francisco,CA,94103,VCA SAN FRANCISCO VETERINARY SPECIALISTS,,CA,76
Diana Montano Reynoso,201030,Sf Spca,,San Francisco,CA,94103,SF SPCA,,CA,77
Tatton Crawford,181700,Soma Animal Hospital,,San Francisco,CA,94114,SOMA ANIMAL HOSPITAL,,CA,78
Cynthia Pieper,170106,Self,,Orinda,CA,94563,SELF,,CA,79
Alison Gerken,96963,San Francisco SPCA,,San Francisco,CA,,SAN FRANCISCO SPCA,,CA,80
Jessica Holliday,143238,Berkeley Animal Hospital,2709 San Pablo Avenue,Berkeley,CA,,BERKELEY ANIMAL HOSPITAL,2709 San Pablo Avenue,CA,81
Maayan McDonald,153154,Claremont Veterinary Hospital,,San Francisco,CA,94102,CLAREMONT VETERINARY HOSPITAL,,CA,82
Shannon Leggieri,155512,Claremont Veterinary Hospital,,San Francisco,CA,94102,CLAREMONT VETERINARY HOSPITAL,,CA,82
Wailani Sung,20517,Joybound People and Pets,2890 Mitchell Drive,Walnut Creek,CA,,JOYBOUND PEOPLE AND PETS,2890 Mitchell Drive,CA,83
Marie-Charlotte Popp DVM,133766,"Modern Animal, Russian Hill",1650 Pacific Avenue,San Francisco,CA,,"MODERN ANIMAL, RUSSIAN HILL",1650 Pacific Avenue,CA,84
Laura Becker,21340,Laura Becker,,Concord,CA,94518,LAURA BECKER,,CA,85
Terry Kubicka,25293,Four Corners Veterinary Hospital,,Concord,CA,94518,FOUR CORNERS VETERINARY HOSPITAL,,CA,87
Larry Scharg,34575,Four Corners Veterinary Hospital,,Concord,CA,94518,FOUR CORNERS VETERINARY HOSPITAL,,CA,87
Elizabeth Pisanelli,124392,Four Corners Veterinary Hospital,,Concord,CA,94518,FOUR CORNERS VETERINARY HOSPITAL,,CA,87
Rajdeep Turna,170215,Rajdeep Turna,,Concord,CA,94518,RAJDEEP TURNA,,CA,86
Christina Petri,173705,Four Corners Veterinary Hospital,,Concord,CA,94518,FOUR CORNERS VETERINARY HOSPITAL,,CA,87
Noelle Schoettle,143832,VCA All Pets Hospital,,San Francisco,CA,94122,VCA ALL PETS HOSPITAL,,CA,88
Wayne Tse,166889,Irving Pet Hospital,,San Francisco,CA,94122,IRVING PET HOSPITAL,,CA,89
Lilliam Alfaro,183370,Irving Pet Hospital,,San Francisco,CA,94122,IRVING PET HOSPITAL,,CA,89
Wing Yin Tse,117744,Banfield Pet Hospital,,San Francisco,CA,94116,BANFIELD PET HOSPITAL,,CA,90
Richard Dietrich,9446,Richard Dietrich,,Discovery Bay,CA,94505,RICHARD DIETRICH,,CA,91
Darlene Casuga,170183,Vetco Total Care,,Brentwood,CA,94513,VETCO TOTAL CARE,,CA,92
Tony Huynh,173650,Dr. Treat Sf,,San Francisco,CA,94123,DR. TREAT SF,,CA,94
Elise Sanchez,174053,Relief Veterinarian @ Roo Veterinary Relief,,San Francisco,CA,94123,RELIEF VETERINARIAN @ ROO VETERINARY RELIEF,,CA,93
Michelle Flores,174522,Dr. Treat Sf,,San Francisco,CA,94123,DR. TREAT SF,,CA,94
Felicity Moffatt,176183,Dr. Treat Sf,,San Francisco,CA,94123,DR. TREAT SF,,CA,94
Nicole Gasparin,182929,Dr. Treat Sf,,San Francisco,CA,94123,DR. TREAT SF,,CA,94
Erica Gurley,193962,Codornices,,Albany,CA,94706,CODORNICES,,CA,95
Yue Kouch,222286,Yue Moi Kouch,,Richmond,CA,94804,YUE MOI KOUCH,,CA,96
Jeannette Goh,162603,Animal Fix Clinic,12226 San Pablo Avenue,Richmond,CA,12226,ANIMAL FIX CLINIC,12226 San Pablo Avenue,CA,97
Leslie Lozano Nava,221176,Carrington College,,Stockton,CA,95206,CARRINGTON COLLEGE,,CA,98
Wendi Velando Rankin,165828,SAGE Veterinary Centers,,Concord,CA,94520,SAGE VETERINARY CENTERS,,CA,99
Kristin Freitas,166977,SAGE Veterinary Centers,,Concord,CA,94520,SAGE VETERINARY CENTERS,,CA,99
Karen Tancuan,170223,Banfield Pet Hospital,,Concord,CA,94520,BANFIELD PET HOSPITAL,,CA,100
Adrienne Hou,211091,All Bay Animal Hospital,,Concord,CA,94520,ALL BAY ANIMAL HOSPITAL,,CA,101
Hana Link,57776,Oasis Veterinary Hospital,,Martinez,CA,94553,OASIS VETERINARY HOSPITAL,,CA,102
Hana Link,58004,Oasis Veterinary Hospital,,Martinez,CA,94553,OASIS VETERINARY HOSPITAL,,CA,102
Hana Link,58256,Oasis Veterinary Hospital,,Martinez,CA,94553,OASIS VETERINARY HOSPITAL,,CA,102
Emily Lin,163543,Pinole Pet Hospital,,Pinole,CA,94564,PINOLE PET HOSPITAL,,CA,103
Hanan Sedarous,210704,P3 Veterinary Partner - Lady Hammond Animal Hospital,,Salinas,NS,93907,P3 VETERINARY PARTNER - LADY HAMMOND ANIMAL HOSPITAL,,NS,104
Rachel Sage,158611,Central Coast College,,Salinas,CA,93901,CENTRAL COAST COLLEGE,,CA,105
Kate Finegan,180863,Animal Hospital Of Salinas,,Salinas,CA,93901,ANIMAL HOSPITAL OF SALINAS,,CA,106
Megan Greer,90657,Ripon Veterinary Hospital,,Ripon,CA,95366,RIPON VETERINARY HOSPITAL,,CA,107
Paige Farnell,71757,VCA Madera,,Corte Madera,CA,94925,VCA MADERA,,CA,108
Noel Crymble,171917,"Dr. Noel’s Ark, Natural Veterinary Care",,Mill Valley,CA,94941,"DR. NOEL’S ARK, NATURAL VETERINARY CARE",,CA,109
Milinda Lommer,173117,Aggie Animal Dental Center,,Mill Valley,CA,94941,AGGIE ANIMAL DENTAL CENTER,,CA,110
Milinda Lommer,173217,Aggie Animal Dental Center,,Mill Valley,CA,94941,AGGIE ANIMAL DENTAL CENTER,,CA,110
Blaise Waniewski,188269,Pet Emergency And Specialty Center Of Marin,,San Rafael,CA,94901,PET EMERGENCY AND SPECIALTY CENTER OF MARIN,,CA,113
Erin Smythe,155815,Pet Emergency and Specialty Center of Marin,901 Francisco Boulevard East,San Rafael,CA,,PET EMERGENCY AND SPECIALTY CENTER OF MARIN,,CA,115
Audra Pompeani,158755,Pet Emergency and Specialty Center of Marin,901 Francisco Boulevard East,San Rafael,CA,94901,PET EMERGENCY AND SPECIALTY CENTER OF MARIN,,CA,113
Carla Robin,167897,Pet Emergency and Specialty Center of Marin,901 Francisco Blvd E,San Rafael,CA,94901,PET EMERGENCY AND SPECIALTY CENTER OF MARIN,,CA,113
Corinne Anderson,89880,ESRVC,,San Rafael,CA,94901,ESRVC,,CA,111
Kat Olson,167103,Pet Emergency and Specialty Center of Marin,,San Rafael,CA,94901,PET EMERGENCY AND SPECIALTY CENTER OF MARIN,,CA,113
Geena Ng,173463,Pet Emergency and Specialty Center of Marin,,San Rafael,CA,94901,PET EMERGENCY AND SPECIALTY CENTER OF MARIN,,CA,113
Susan Ostapak,180756,Pet Emergency and Specialty Center of Marin,,San Rafael,CA,94901,PET EMERGENCY AND SPECIALTY CENTER OF MARIN,,CA,113
Diana Cardenas,180757,Ethos - Pet Emergency and Specialty Center,,San Rafael,CA,94901,ETHOS - PET EMERGENCY AND SPECIALTY CENTER,,CA,112
Leah Kramer,182670,Pet Emergency And Specialty Center Of Marin,,San Rafael,CA,94901,PET EMERGENCY AND SPECIALTY CENTER OF MARIN,,CA,113
Nika Padidar,223308,Pet Emergency and Specialty Center of Marin,,San Rafael,CA,94901,PET EMERGENCY AND SPECIALTY CENTER OF MARIN,,CA,113
Karen Corsiglia,44985,CrowsLanding Rd. Veterinary Clinic,,Modesto,CA,95358,CROWSLANDING RD. VETERINARY CLINIC,,CA,114
Fabiola Ferriz Ashby,48903,CrowsLanding Rd. Veterinary Clinic,,Modesto,CA,95358,CROWSLANDING RD. VETERINARY CLINIC,,CA,114
Krupa Swaminathan,167655,Pet Emergency and Specialty Center of Marin,,San Rafael,CA,,PET EMERGENCY AND SPECIALTY CENTER OF MARIN,,CA,115
Shanel Xian,174230,Pet Emergency & Specialty Center of Marin,,San Rafael,CA,,PET EMERGENCY & SPECIALTY CENTER OF MARIN,,CA,116
Marcella Harb-Hauser,192024,Pet Emergency & Specialty Center Of Marin,,San Rafael,CA,,PET EMERGENCY & SPECIALTY CENTER OF MARIN,,CA,116
Gurnam Gill,78573,Valley Veterinary Hospital,,Modesto,CA,95350,VALLEY VETERINARY HOSPITAL,,CA,117
Lindsey Rockwood,181586,Toro Park Animal Hospital,,Salinas,CA,93908,TORO PARK ANIMAL HOSPITAL,,CA,118
Diana Alvarez,164596,Guide Dogs for the Blind,350 Los Ranchitos Road,San Rafael,CA,,GUIDE DOGS FOR THE BLIND,350 Los Ranchitos Road,CA,119
Mandy Predmore,13892,Village Oak Veterinary Hospital,,Road Modesto,CA,95357,VILLAGE OAK VETERINARY HOSPITAL,,CA,120
Kristin Conover,158302,Guide Dogs for the Blind,,San Rafael,CA,94903,GUIDE DOGS FOR THE BLIND,,CA,121
Alex Philippine,158410,Guide Dogs for the Blind,,San Rafael,CA,94903,GUIDE DOGS FOR THE BLIND,,CA,121
Kris Gonzales,158632,Guide Dogs for the Blind,,San Rafael,CA,94903,GUIDE DOGS FOR THE BLIND,,CA,121
Erin Matern,159298,Guide Dogs for the Blind,,San Rafael,CA,94903,GUIDE DOGS FOR THE BLIND,,CA,121
Kate Kuzminski,162053,Guide Dogs for the Blind,,San Rafael,CA,94903,GUIDE DOGS FOR THE BLIND,,CA,121
Matt Liang,206702,Erickson Veterinary Hospital,,Stockton,CA,95210,ERICKSON VETERINARY HOSPITAL,,CA,122
Valerie Christiansen,206152,American Canyon Veterinary Hospital,,American Canyon,CA,94503,AMERICAN CANYON VETERINARY HOSPITAL,,CA,123
Anita Roussell,11536,Sylvan Veterinary Hospital,,Modesto,CA,95357,SYLVAN VETERINARY HOSPITAL,,CA,124
Julie Kluxdal,183663,Dechra Veterinary Products,,Fairfield,CA,94533,DECHRA VETERINARY PRODUCTS,,CA,125
Chalaporn Hathaidharm,42436,South Novato Animal Hospital,7077 Redwood Boulevard,Novato,CA,,SOUTH NOVATO ANIMAL HOSPITAL,7077 Redwood Boulevard,CA,126
Erin Koalska,9129,South Novato Animal Hospital,,Novato,CA,94945,SOUTH NOVATO ANIMAL HOSPITAL,,CA,127
Tiffany Buckley-Newman,12382,South Novato Animal Hospital,,Novato,CA,94945,SOUTH NOVATO ANIMAL HOSPITAL,,CA,127
Aj Pheils,177798,The Country Vet,,Novato,CA,94945,THE COUNTRY VET,,CA,128
Allison Vail Kimmons,210212,Davis Animal Hospital,,Lodi,FL,95242,DAVIS ANIMAL HOSPITAL,,FL,129
Anna Taylor,204957,UC Davis School Of Veterinary Medicine,,Nicasio,CA,94946,UC DAVIS SCHOOL OF VETERINARY MEDICINE,,CA,130
Denise Leigh Adams-Berg,17819,Denise Leigh Adams-Berg,,Novato,CA,94947,DENISE LEIGH ADAMS-BERG,,CA,131
Mary Diedrich,9569,"Happy Tails Animal Hospital Vacaville, CA",,Vacaville,CA,95687,"HAPPY TAILS ANIMAL HOSPITAL VACAVILLE, CA",,CA,132
Audrey Salinas,147480,"University of California, Davis",,Vacaville,CA,95687,"UNIVERSITY OF CALIFORNIA, DAVIS",,CA,133
Audrey Salinas,147957,"University of California, Davis",,Vacaville,CA,95687,"UNIVERSITY OF CALIFORNIA, DAVIS",,CA,133
Jeannie Grijalva,207891,Vetco Total Care,,Vacaville,CA,95687,VETCO TOTAL CARE,,CA,134
Jennifer Corsi,164050,VetnCare - Alley Cat Small Animal Hospital,,Napa,CA,94558,VETNCARE - ALLEY CAT SMALL ANIMAL HOSPITAL,,CA,135
Melissa Hart,70212,Arroyo Veterinary Hospital,,Sonoma,CA,95476,ARROYO VETERINARY HOSPITAL,,CA,136
Morna 'Mo' Herzberg,41377,Morna 'Mo' Herzberg,,Petaluma,CA,,MORNA 'MO' HERZBERG,,CA,137
Thomas Hack,102612,Franklin Ranch Pet Hospital,10207 Franklin Boulevard,Elk Grove,CA,10207,FRANKLIN RANCH PET HOSPITAL,10207 Franklin Blvd,CA,138
Thomas Zehnder,189039,Franklin Ranch Pet Hospital,10207 Franklin Blvd,Elk Grove,CA,10207,FRANKLIN RANCH PET HOSPITAL,10207 Franklin Blvd,CA,138
Tatiana Smith,174674,Amvc,,Merced,CA,95348,AMVC,,CA,139
Erin Catching,94221,VCA Bradshaw Animal Hospital,,Elk Grove,CA,95624,VCA BRADSHAW ANIMAL HOSPITAL,,CA,140
Becky Van Riper,169271,VCA Elk Grove Animal Hospital 521,,Elk Grove,CA,95624,VCA ELK GROVE ANIMAL HOSPITAL 521,,CA,141
Shaina Clinton,174700,Vca Elk Grove Animal Hospital 521,,Elk Grove,CA,95624,VCA ELK GROVE ANIMAL HOSPITAL 521,,CA,141
Grace Armstrong,216497,VCA Elk Grove Animal Hospital 521,,Elk Grove,CA,95624,VCA ELK GROVE ANIMAL HOSPITAL 521,,CA,141
Charisse Ongie-Cha,58991,VCA Mueller Pet Medical Center,7625 Freeport Blvd,Sacramento,CA,,VCA MUELLER PET MEDICAL CENTER,7625 Freeport Blvd,CA,142
Jessica Sanchez,124686,VCA Greenhaven Pocket Animal Hospital,,Sacramento,CA,95831,VCA GREENHAVEN POCKET ANIMAL HOSPITAL,,CA,144
Irene Nakaoka,140369,SC,,Sacramento,CA,95831,SC,,CA,143
Madelyn Arbios,160741,VCA Greenhaven Pocket Animal Hospital,,Sacramento,CA,95831,VCA GREENHAVEN POCKET ANIMAL HOSPITAL,,CA,144
Shanna Wade,38504,"Clinical Animal Behavior Service, UC Davis School of Veterinary Medicine",,Davis,CA,95616,"CLINICAL ANIMAL BEHAVIOR SERVICE, UC DAVIS SCHOOL OF VETERINARY MEDICINE",,CA,145
Melissa Bain,8748,"Clinical Animal Behavior Service, UC Davis School of Veterinary Medicine",,Davis,CA,95616,"CLINICAL ANIMAL BEHAVIOR SERVICE, UC DAVIS SCHOOL OF VETERINARY MEDICINE",,CA,145
Susanna Marshall,18140,UC Davis,,Davis,CA,95616,UC DAVIS,,CA,146
Melissa Valdez,76080,UC Davis,,Davis,CA,95616,UC DAVIS,,CA,146
Laura Quilling,121005,University of California- Davis,,Davis,CA,95618,UNIVERSITY OF CALIFORNIA- DAVIS,,CA,147
Laura Quilling,121467,University of California- Davis,,Davis,CA,95618,UNIVERSITY OF CALIFORNIA- DAVIS,,CA,147
Melissa Thurston,127033,University of California Davis School of Veterinary Medicine,,Davis,CA,95618,UNIVERSITY OF CALIFORNIA DAVIS SCHOOL OF VETERINARY MEDICINE,,CA,148
Jamie White,134150,UC Davis,,Davis,CA,95618,UC DAVIS,,CA,149
